codigo_postal,departamento
2000,Rosario
2001,Rosario
2002,Rosario
2003,Rosario
2004,Rosario
2005,Rosario
2006,Rosario
2007,Rosario
2008,Rosario
2009,Rosario
2010,Rosario
2011,Rosario
2012,Rosario
2013,Rosario
2014,Rosario
2015,Rosario
2045,Castellanos
2046,Caseros
2100,Rosario
2101,Rosario
2102,Rosario
2103,Constitución
2104,Constitución
2105,General López
2106,Constitución
2107,Rosario
2108,Rosario
2109,Rosario
2110,Constitución
2111,Iriondo
2112,Las Colonias
2113,Constitución
2114,Rosario
2115,Las Colonias
2117,San Cristóbal
2118,Constitución
2119,Rosario
2120,Rosario
2121,Rosario
2122,San Lorenzo
2123,Rosario
2124,Rosario
2125,Rosario
2126,Rosario
2127,Rosario
2128,San Lorenzo
2129,Rosario
2130,Rosario
2131,Rosario
2132,Rosario
2133,General Obligado
2134,San Lorenzo
2135,Rosario
2136,San Lorenzo
2138,Iriondo
2139,Caseros
2141,San Lorenzo
2142,San Lorenzo
2143,Rosario
2144,Iriondo
2146,San Jerónimo
2147,Iriondo
2148,General López
2149,San Martín
2150,San Lorenzo
2151,Iriondo
2152,Rosario
2153,San Martín
2154,General López
2156,San Lorenzo
2158,San Lorenzo
2170,Caseros
2173,Caseros
2174,Caseros
2175,San Lorenzo
2176,Caseros
2177,Caseros
2179,Constitución
2181,Caseros
2183,Caseros
2184,Caseros
2185,Caseros
2186,Caseros
2187,Caseros
2189,San Cristóbal
2200,San Lorenzo
2201,San Lorenzo
2202,San Lorenzo
2204,San Lorenzo
2206,San Lorenzo
2208,General Obligado
2209,San Jerónimo
2211,Iriondo
2212,San Jerónimo
2214,San Lorenzo
2215,Iriondo
2216,Iriondo
2218,Iriondo
2222,San Jerónimo
2240,San Jerónimo
2241,San Jerónimo
2242,San Jerónimo
2243,San Jerónimo
2244,San Jerónimo
2245,San Jerónimo
2246,San Jerónimo
2248,San Jerónimo
2249,San Jerónimo
2252,San Jerónimo
2253,San Jerónimo
2254,San Jerónimo
2255,San Justo
2256,San Jerónimo
2257,San Martín
2258,Las Colonias
2300,Castellanos
2301,Castellanos
2302,Castellanos
2303,Castellanos
2305,Castellanos
2306,Castellanos
2307,Castellanos
2308,Castellanos
2309,General Obligado
2310,Castellanos
2311,Castellanos
2312,Castellanos
2313,San Cristóbal
2315,Castellanos
2317,Castellanos
2318,Castellanos
2319,Castellanos
2320,Castellanos
2321,Castellanos
2322,Castellanos
2323,San Lorenzo
2324,Castellanos
2326,San Cristóbal
2330,Castellanos
2334,Castellanos
2339,San Cristóbal
2340,San Cristóbal
2341,San Javier
2342,San Cristóbal
2343,Rosario
2344,San Cristóbal
2345,San Cristóbal
2347,San Cristóbal
2348,San Cristóbal
2349,San Cristóbal
2350,San Cristóbal
2351,San Cristóbal
2352,San Cristóbal
2354,General Obligado
2400,General Obligado
2401,Castellanos
2403,Castellanos
2404,Castellanos
2405,Castellanos
2407,Castellanos
2408,Castellanos
2409,Castellanos
2411,San Cristóbal
2413,General Obligado
2415,Castellanos
2417,Iriondo
2438,Castellanos
2440,San Martín
2441,San Martín
2443,Castellanos
2445,Castellanos
2446,Castellanos
2447,Castellanos
2449,San Martín
2451,San Martín
2452,San Martín
2453,San Martín
2454,San Martín
2456,San Martín
2469,San Justo
2494,San Javier
2495,Vera
2500,Iriondo
2501,Iriondo
2502,Las Colonias
2503,Iriondo
2504,Iriondo
2505,Belgrano
2506,La Capital
2508,Belgrano
2512,Belgrano
2520,Belgrano
2521,Belgrano
2523,Belgrano
2527,San Martín
2529,San Martín
2531,San Martín
2533,San Martín
2534,San Martín
2535,San Martín
2537,Caseros
2550,General Obligado
2595,Rosario
2600,General López
2601,General López
2602,General López
2603,General López
2604,General López
2605,General López
2607,General López
2609,Iriondo
2610,Constitución
2611,General López
2613,General López
2615,General López
2617,General López
2618,General López
2619,Vera
2622,General López
2625,General López
2630,General López
2631,General López
2633,General López
2635,General López
2637,Caseros
2639,Caseros
2640,Caseros
2643,General López
2644,General López
2645,General López
2701,Constitución
2720,San Martín
2722,General López
2723,Constitución
2724,Castellanos
2725,General López
2726,General López
2728,General López
2729,General López
2732,General López
2918,Constitución
2919,Constitución
2920,Constitución
2921,Caseros
2922,Constitución
2923,Constitución
3000,La Capital
3001,La Capital
3002,La Capital
3003,Garay
3004,La Capital
3005,San Javier
3006,La Capital
3007,Las Colonias
3008,La Capital
3009,Las Colonias
3010,Las Colonias
3011,Las Colonias
3012,Las Colonias
3013,Las Colonias
3014,La Capital
3015,La Capital
3016,General Obligado
3017,La Capital
3018,La Capital
3019,Las Colonias
3020,San Cristóbal
3021,Las Colonias
3022,General López
3023,Las Colonias
3024,Las Colonias
3025,Las Colonias
3027,Las Colonias
3028,Las Colonias
3029,Las Colonias
3030,La Capital
3031,La Capital
3032,La Capital
3033,Las Colonias
3034,La Capital
3036,San Lorenzo
3038,General Obligado
3039,General Obligado
3040,San Justo
3041,Garay
3042,General López
3043,Las Colonias
3044,San Justo
3045,San Justo
3046,General Obligado
3048,San Justo
3049,Las Colonias
3050,Vera
3051,San Javier
3052,San Justo
3053,Iriondo
3054,San Justo
3056,Vera
3057,Constitución
3058,Rosario
3060,Nueve De Julio
3061,Nueve De Julio
3062,Vera
3066,Nueve De Julio
3067,Nueve De Julio
3068,Nueve De Julio
3069,Nueve De Julio
3070,San Cristóbal
3071,San Cristóbal
3072,San Cristóbal
3074,San Cristóbal
3075,Nueve De Julio
3076,San Cristóbal
3077,Nueve De Julio
3079,Garay
3080,Las Colonias
3081,Las Colonias
3082,Las Colonias
3083,Las Colonias
3085,Las Colonias
3087,Las Colonias
3088,Las Colonias
3089,La Capital
3091,La Capital
3092,La Capital
3094,San Justo
3097,Vera
3170,San Cristóbal
3516,General Obligado
3541,Nueve De Julio
3550,Vera
3551,Vera
3552,Vera
3553,Vera
3555,San Javier
3557,Vera
3560,General Obligado
3561,General Obligado
3562,Vera
3563,General Obligado
3565,Vera
3567,General Obligado
3569,General Obligado
3572,General Obligado
3574,General Obligado
3575,General Obligado
3576,General Obligado
3577,General Obligado
3580,General Obligado
3581,General Obligado
3583,General Obligado
3584,General Obligado
3585,General Obligado
3586,General Obligado
3587,General Obligado
3588,General Obligado
3589,General Obligado
3592,General Obligado
3596,General Obligado
3599,Vera
3600,La Capital
3607,San Javier
3647,Nueve De Julio
6009,General López
6036,General López
6039,General López
6100,General López
6103,General López
6106,Iriondo
6107,Garay
6128,Iriondo
6132,Castellanos
6134,Garay
6141,General Obligado
6144,La Capital
6203,General López
8148,Vera
