distrito,departamento
Armstrong,Belgrano
Bouquet,Belgrano
Bouquet,Belgrano
Las Rosas,Belgrano
Las Parejas,Belgrano
Las Rosas,Belgrano
Montes De Oca,Belgrano
Tortugas,Belgrano
Arequito,Caseros
Arteaga,Caseros
Berabevú,Caseros
Bigand,Caseros
Casilda,Caseros
Chabás,Caseros
Chañar Ladeado,Caseros
Chañar Ladeado,Caseros
Godeken,Caseros
Los Quirquinchos,Caseros
Arequito,Caseros
Los Molinos,Caseros
San José De La Esquina,Caseros
Los Quirquinchos,Caseros
Los Quirquinchos,Caseros
San José De La Esquina,Caseros
Sanford,Caseros
Villada,Caseros
Aldao,Castellanos
Angélica,Castellanos
Ataliva,Castellanos
Aurelia Sur,Castellanos
Aurelia Sur,Castellanos
Bauer Y Sigel,Castellanos
Bella Italia,Castellanos
Sunchales,Castellanos
Egusquiza,Castellanos
Aldao,Castellanos
Castellanos,Castellanos
Clucellas,Castellanos
Colonia Bicha,Castellanos
Colonia Bigand,Castellanos
Colonia Cello,Castellanos
Colonia Fidela,Castellanos
Colonia Iturraspe,Castellanos
Colonia Margarita,Castellanos
Colonia Mauá,Castellanos
Colonia Raquel,Castellanos
Coronel Fraga,Castellanos
Egusquiza,Castellanos
Sunchales,Castellanos
Esmeralda,Castellanos
Estación Clucellas,Castellanos
Colonia Cello,Castellanos
Frontera,Castellanos
Zenón Pereyra,Castellanos
María Juana,Castellanos
Presidente Roca,Castellanos
Saguier,Castellanos
Eusebia,Castellanos
Eustolia,Castellanos
Frontera,Castellanos
Galisteo,Castellanos
Garibaldi,Castellanos
Hugentobler,Castellanos
Humberto 1º,Castellanos
Josefina,Castellanos
Garibaldi,Castellanos
Angélica,Castellanos
Rafaela,Castellanos
Lehmann,Castellanos
San Vicente,Castellanos
San Vicente,Castellanos
María Juana,Castellanos
Lehmann,Castellanos
Presidente Roca,Castellanos
Pueblo Marini,Castellanos
Pueblo San Antonio,Castellanos
Rafaela,Castellanos
Ramona,Castellanos
Saguier,Castellanos
San Vicente,Castellanos
Santa Clara De Saguier,Castellanos
Sunchales,Castellanos
Susana,Castellanos
Tacural,Castellanos
Tacurales,Castellanos
Vila,Castellanos
Villa San José,Castellanos
Virginia,Castellanos
Zenón Pereyra,Castellanos
Alcorta,Constitución
Bombal,Constitución
Cañada Rica,Constitución
Cepeda,Constitución
Empalme Villa Constitución,Constitución
Santa Teresa,Constitución
General Gelly,Constitución
Godoy,Constitución
Juan B. Molina,Constitución
Juncal,Constitución
La Vanguardia,Constitución
Máximo Paz,Constitución
Godoy,Constitución
Pavón,Constitución
Pavón Arriba,Constitución
Peyrano,Constitución
Rueda,Constitución
Santa Teresa,Constitución
Sargento Cabral,Constitución
Cepeda,Constitución
Theobald,Constitución
Villa Constitución,Constitución
Helvecia,Garay
Cayastá,Garay
Colonia Mascias,Garay
Colonia Mascias,Garay
Helvecia,Garay
Saladero Cabal,Garay
Helvecia,Garay
Saladero Cabal,Garay
Helvecia,Garay
Cayastá,Garay
Santa Rosa,Garay
Saladero Cabal,Garay
Santa Rosa,Garay
Elortondo,General López
Aarón Castellanos (Est. Castellanos),General López
Amenábar,General López
Caferata,General López
Christophersen,General López
Cañada del Ucle,General López
Carmen,General López
Carreras,General López
Chapuy,General López
Chovet,General López
Christophersen,General López
Rufino,General López
Diego De Alvear,General López
Pueblo Miguel Torres,General López
Caferata,General López
Elortondo,General López
Elortondo,General López
Teodelina,General López
Firmat,General López
Firmat,General López
Hughes,General López
La Chispa,General López
Labordeboy,General López
Lazzarino,General López
Maggiolo,General López
María Teresa,General López
Melincué,General López
Wheelwright,General López
Murphy,General López
Pueblo Miguel Torres,General López
Santa Isabel,General López
Rufino,General López
Santa Isabel,General López
San Eduardo,General López
San Francisco De Santa Fe,General López
San Gregorio,General López
Sancti Spiritu,General López
Elortondo,General López
Santa Isabel,General López
Rufino,General López
Teodelina,General López
Venado Tuerto,General López
Villa Cañás,General López
Chovet,General López
Labordeboy,General López
Wheelwright,General López
Arroyo Ceibal,General Obligado
Villa Guillermina,General Obligado
Avellaneda,General Obligado
Berna,General Obligado
Reconquista,General Obligado
El Arazá,General Obligado
Avellaneda,General Obligado
El Rabón,General Obligado
Berna,General Obligado
El Sombrerito,General Obligado
Avellaneda,General Obligado
Villa Ocampo,General Obligado
Avellaneda,General Obligado
Villa Ana,General Obligado
Lanteri,General Obligado
Florencia,General Obligado
Guadalupe Norte,General Obligado
Villa Ana,General Obligado
El Rabón,General Obligado
Ingeniero Chanourdie,General Obligado
Villa Ocampo,General Obligado
Ingeniero Chanourdie,General Obligado
Tacuarendí,General Obligado
Villa Guillermina,General Obligado
Villa Ana,General Obligado
Reconquista,General Obligado
Berna,General Obligado
Los Laureles,General Obligado
Reconquista,General Obligado
Nicanor E. Molinas,General Obligado
Villa Ana,General Obligado
La Sarita,General Obligado
La Sarita,General Obligado
La Sarita,General Obligado
Lanteri,General Obligado
Berna,General Obligado
Las Garzas,General Obligado
Los Laureles,General Obligado
Las Toscas,General Obligado
Los Laureles,General Obligado
Malabrigo,General Obligado
Villa Ana,General Obligado
Nicanor E. Molinas,General Obligado
Ingeniero Chanourdie,General Obligado
Lanteri,General Obligado
La Sarita,General Obligado
La Sarita,General Obligado
La Sarita,General Obligado
Lanteri,General Obligado
Villa Ocampo,General Obligado
El Rabón,General Obligado
El Rabón,General Obligado
Reconquista,General Obligado
Villa Guillermina,General Obligado
Reconquista,General Obligado
San Antonio De Obligado,General Obligado
