localidad,departamento
Armstrong,Belgrano
Bouquet,Belgrano
Iturraspe,Belgrano
La California,Belgrano
Las Parejas,Belgrano
Las Rosas,Belgrano
Montes De Oca,Belgrano
Tortugas,Belgrano
Arequito,Caseros
Arteaga,Caseros
Berabevú,Caseros
Bigand,Caseros
Casilda,Caseros
Chabás,Caseros
Chañar Ladeado,Caseros
Cuatro Esquinas,Caseros
Godeken,Caseros
La Flor,Caseros
La Viuda,Caseros
Los Molinos,Caseros
Los Nogales,Caseros
Los Quirquinchos,Caseros
Pueblo Hansen,Caseros
San José De La Esquina,Caseros
Sanford,Caseros
Villada,Caseros
Aldao,Castellanos
Angélica,Castellanos
Ataliva,Castellanos
Aurelia Norte,Castellanos
Aurelia Sur,Castellanos
Bauer Y Sigel,Castellanos
Bella Italia,Castellanos
Cabaña El Cisne,Castellanos
Capilla Fassi,Castellanos
Casablanca,Castellanos
Castellanos,Castellanos
Clucellas,Castellanos
Colonia Bicha,Castellanos
Colonia Bigand,Castellanos
Colonia Cello,Castellanos
Colonia Fidela,Castellanos
Colonia Iturraspe,Castellanos
Colonia Margarita,Castellanos
Colonia Mauá,Castellanos
Colonia Raquel,Castellanos
Coronel Fraga,Castellanos
Egusquiza,Castellanos
El Bayo,Castellanos
Esmeralda,Castellanos
Estación Clucellas,Castellanos
Estación J. M.  Estrada,Castellanos
Estación Josefina,Castellanos
Estación Km. 501,Castellanos
Estación María Juana,Castellanos
Estación Presidente Roca,Castellanos
Estación Saguier,Castellanos
Eusebia,Castellanos
Eustolia,Castellanos
Frontera,Castellanos
Galisteo,Castellanos
Garibaldi,Castellanos
Hugentobler,Castellanos
Humberto 1º,Castellanos
Josefina,Castellanos
Km.  483,Castellanos
Km. 85,Castellanos
La Frontera,Castellanos
Lehmann,Castellanos
Los Sembrados,Castellanos
Mangore,Castellanos
María Juana,Castellanos
Nueva Lehmann,Castellanos
Presidente Roca,Castellanos
Pueblo Marini,Castellanos
Pueblo San Antonio,Castellanos
Rafaela,Castellanos
Ramona,Castellanos
Saguier,Castellanos
San Vicente,Castellanos
Santa Clara De Saguier,Castellanos
Sunchales,Castellanos
Susana,Castellanos
Tacural,Castellanos
Tacurales,Castellanos
Vila,Castellanos
Villa San José,Castellanos
Virginia,Castellanos
Zenón Pereyra,Castellanos
Alcorta,Constitución
Bombal,Constitución
Cañada Rica,Constitución
Cepeda,Constitución
Empalme Villa Constitución,Constitución
Francisco Paz,Constitución
General Gelly,Constitución
Godoy,Constitución
Juan B. Molina,Constitución
Juncal,Constitución
La Vanguardia,Constitución
Máximo Paz,Constitución
Oratorio Morante,Constitución
Pavón,Constitución
Pavón Arriba,Constitución
Peyrano,Constitución
Rueda,Constitución
Santa Teresa,Constitución
Sargento Cabral,Constitución
Stephenson,Constitución
Theobald,Constitución
Villa Constitución,Constitución
Campo del Medio,Garay
Cayastá,Garay
Colonia Mascias,Garay
Colonia San Joaquín,Garay
El Laurel,Garay
El Recreo,Garay
Helvecia,Garay
La Noria,Garay
Las Cañas,Garay
Los Cerrillos,Garay
Los Zapallos,Garay
Saladero Cabal,Garay
Santa Rosa,Garay
4 de Febrero,General López
Aarón Castellanos (Est. Castellanos),General López
Amenábar,General López
Caferata,General López
Campana,General López
Cañada del Ucle,General López
Carmen,General López
Carreras,General López
Chapuy,General López
Chovet,General López
Christophersen,General López
Coronel Roseti,General López
Diego De Alvear,General López
Durhan,General López
El Cantor,General López
El Jardín,General López
Elortondo,General López
Estación Teodelina,General López
Firmat,General López
Fredriksson,General López
Hughes,General López
La Chispa,General López
Labordeboy,General López
Lazzarino,General López
Maggiolo,General López
María Teresa,General López
Melincué,General López
Merceditas,General López
Murphy,General López
Pueblo Miguel Torres,General López
Rastreador Fournier,General López
Rufino,General López
Runciman,General López
San Eduardo,General López
San Francisco De Santa Fe,General López
San Gregorio,General López
Sancti Spiritu,General López
Santa Emilia,General López
Santa Isabel,General López
Tarragona,General López
Teodelina,General López
Venado Tuerto,General López
Villa Cañás,General López
Villa Divisa de Mayo,General López
Villa Estela,General López
Wheelwright,General López
Arroyo Ceibal,General Obligado
Arroyo La Muñeca,General Obligado
Avellaneda,General Obligado
Berna,General Obligado
Desvío Dr. Barros Pazos,General Obligado
El Arazá,General Obligado
El Carmen,General Obligado
El Rabón,General Obligado
El Ricardito,General Obligado
El Sombrerito,General Obligado
El Timbú,General Obligado
Emb. Km. 403,General Obligado
Estación Moussy,General Obligado
Estación Villa Ana,General Obligado
Flor De Oro,General Obligado
Florencia,General Obligado
Guadalupe Norte,General Obligado
Guasuncho,General Obligado
Hardy,General Obligado
Ingeniero Chanourdie,General Obligado
Km. 408,General Obligado
Km. 41,General Obligado
Km. 421,General Obligado
Km. 49,General Obligado
Km. 67,General Obligado
La Celia,General Obligado
La Diamela,General Obligado
La Esmeralda,General Obligado
La Lola,General Obligado
La Potasa,General Obligado
La Reserva,General Obligado
La Sarita,General Obligado
La Sirena,General Obligado
La Vanguardia,General Obligado
Lanteri,General Obligado
Las Amintas,General Obligado
Las Garzas,General Obligado
Las Palmas,General Obligado
Las Toscas,General Obligado
Los Laureles,General Obligado
Malabrigo,General Obligado
Mocoví,General Obligado
Nicanor E. Molinas,General Obligado
Paraje Arroyo del Rey,General Obligado
Paraje El Algarrobal,General Obligado
Paraje La Sarita Vieja,General Obligado
Paraje La Selva,General Obligado
Paraje La Sirena,General Obligado
Paraje Los Lapachos,General Obligado
Puerto Ocampo,General Obligado
